,Date,stock,value,change
195,2/28/2007,GSPC,1406.819946,-0.259443436
196,3/1/2007,MSFT,22.609112,-1.17479625
197,3/1/2007,IBM,76.609246,-1.484767256
198,3/1/2007,SBUX,13.923073,-1.678185556
199,3/1/2007,AAPL,11.517905,-1.895249179
200,3/1/2007,GSPC,1403.170044,-1.140275198
201,3/2/2007,MSFT,22.343501,-0.75648843
202,3/2/2007,IBM,75.471777,1.001094754
203,3/2/2007,SBUX,13.689418,-1.572952188
204,3/2/2007,AAPL,11.299612,1.065452513
205,3/2/2007,GSPC,1387.170044,-0.940767792
206,3/5/2007,MSFT,22.174475,1.016335223
207,3/5/2007,IBM,76.227321,2.167525998
208,3/5/2007,SBUX,13.47409,2.006116925
209,3/5/2007,AAPL,11.420004,2.166356509
210,3/5/2007,GSPC,1374.119995,1.549358068
211,3/6/2007,MSFT,22.399842,-0.79051004
212,3/6/2007,IBM,77.879568,0.149253524
213,3/6/2007,SBUX,13.744396,1.566667608
214,3/6/2007,AAPL,11.667402,-0.532937838
215,3/6/2007,GSPC,1395.410034,-0.246527036
216,3/7/2007,MSFT,22.222769,-1.050346156
217,3/7/2007,IBM,77.995806,-1.000640983
218,3/7/2007,SBUX,13.959725,0.75484295
219,3/7/2007,AAPL,11.605222,0.319192515
220,3/7/2007,GSPC,1391.969971,0.712662213
221,3/8/2007,MSFT,21.989353,-0.109807687
222,3/8/2007,IBM,77.215348,0.301073564
223,3/8/2007,SBUX,14.065099,-1.270364325
224,3/8/2007,AAPL,11.642265,-0.034091304
225,3/8/2007,GSPC,1401.890015,0.067762163
226,3/9/2007,MSFT,21.965207,0.549651091
227,3/9/2007,IBM,77.447823,0.889796476
228,3/9/2007,SBUX,13.886421,-0.791816696
229,3/9/2007,AAPL,11.638296,2.159835082
230,3/9/2007,GSPC,1402.839966,0.268028435
231,3/12/2007,MSFT,22.085939,-2.623909266
232,3/12/2007,IBM,78.136951,-1.487622674
233,3/12/2007,SBUX,13.776466,-2.361149804
